子網路遮罩(Subnet Mask)：255.255.254.0
預設閘道(Default Gateway): 140.117.183.254

B1

F001-1  140.117.182.1
F001-2  140.117.182.2
F001-3  140.117.182.3
F001-4  140.117.182.4
F002-1  140.117.182.5
F002-2  140.117.182.6
F002-3  140.117.182.7
F002-4  140.117.182.8
F003-1  140.117.182.9
F003-2  140.117.182.10
F003-3  140.117.182.11
F003-4  140.117.182.12
F004-1  140.117.182.13
F004-2  140.117.182.14
F004-3  140.117.182.15
F004-4  140.117.182.16
F005-1  140.117.182.17
F005-2  140.117.182.18
F005-3  140.117.182.19
F005-4  140.117.182.20
F006-1  140.117.182.21
F006-2  140.117.182.22
F006-3  140.117.182.23
F006-4  140.117.182.24
F007-1  140.117.182.25
F007-2  140.117.182.26
F007-3  140.117.182.27
F007-4  140.117.182.28
F008-1  140.117.182.29
F008-2  140.117.182.30
F008-3  140.117.182.31
F008-4  140.117.182.32
F009-1  140.117.182.33
F009-2  140.117.182.34
F009-3  140.117.182.35
F009-4  140.117.182.36
F010-1  140.117.182.37
F010-2  140.117.182.38
F010-3  140.117.182.39
F010-4  140.117.182.40
F011-1  140.117.182.41
F011-2  140.117.182.42
F011-3  140.117.182.43
F011-4  140.117.182.44
F012-1  140.117.182.45
F012-2  140.117.182.46
F012-3  140.117.182.47
F012-4  140.117.182.48

1F

F101-1 140.117.182.49
F101-2 140.117.182.50
F101-3 140.117.182.51
F101-4 140.117.182.52
F102-1 140.117.182.53
F102-2 140.117.182.54
F102-3 140.117.182.55
F102-4 140.117.182.56
F103-1 140.117.182.57
F103-2 140.117.182.58
F103-3 140.117.182.59
F103-4 140.117.182.60
F104-1 140.117.182.61
F104-2 140.117.182.62
F104-3 140.117.182.63
F104-4 140.117.182.64
F105-1 140.117.182.65
F105-2 140.117.182.66
F105-3 140.117.182.67
F105-4 140.117.182.68
F106-1 140.117.182.69
F106-2 140.117.182.70
F106-3 140.117.182.71
F106-4 140.117.182.72
F107-1 140.117.182.73
F107-2 140.117.182.74
F107-3 140.117.182.75
F107-4 140.117.182.76
F108-1 140.117.182.77
F108-2 140.117.182.78
F108-3 140.117.182.79
F108-4 140.117.182.80
F109-1 140.117.182.81
F109-2 140.117.182.82
F109-3 140.117.182.83
F109-4 140.117.182.84
F110-1 140.117.182.85
F110-2 140.117.182.86
F110-3 140.117.182.87
F110-4 140.117.182.88
F111-1 140.117.182.89
F111-2 140.117.182.90
F111-3 140.117.182.91
F111-4 140.117.182.92

2F

F201-1  140.117.182.93
F201-2  140.117.182.94
F201-3  140.117.182.95
F201-4  140.117.182.96
F202-1  140.117.182.97
F202-2  140.117.182.98
F202-3  140.117.182.99
F202-4  140.117.182.100
F203-1  140.117.182.101
F203-2  140.117.182.102
